Albany

Date,Time,UTCTime,Sunrise,SunSet
05/04/2021,11:32:03,11:32:03,06:29,19:26
06/04/2021,11:32:03,11:32:03,06:28,19:27
07/04/2021,11:32:03,11:32:03,06:26,19:28
08/04/2021,11:32:03,11:32:03,06:24,19:29
09/04/2021,11:32:03,11:32:03,06:23,19:30
10/04/2021,11:32:03,11:32:03,06:21,19:31
11/04/2021,11:32:03,11:32:03,06:19,19:32
12/04/2021,11:32:03,11:32:03,06:18,19:33
13/04/2021,11:32:03,11:32:03,06:16,19:35
14/04/2021,11:32:03,11:32:03,06:14,19:36
15/04/2021,11:32:03,11:32:03,06:13,19:37
16/04/2021,11:32:03,11:32:03,06:11,19:38
17/04/2021,11:32:03,11:32:03,06:10,19:39
18/04/2021,11:32:03,11:32:03,06:08,19:40
19/04/2021,11:32:03,11:32:03,06:06,19:41
20/04/2021,11:32:03,11:32:03,06:05,19:43
21/04/2021,11:32:03,11:32:03,06:03,19:44
22/04/2021,11:32:03,11:32:03,06:02,19:45
23/04/2021,11:32:03,11:32:03,06:00,19:46
24/04/2021,11:32:03,11:32:03,05:59,19:47
25/04/2021,11:32:03,11:32:03,05:57,19:48
26/04/2021,11:32:03,11:32:03,05:56,19:49
27/04/2021,11:32:03,11:32:03,05:54,19:50
28/04/2021,11:32:03,11:32:03,05:53,19:52
29/04/2021,11:32:03,11:32:03,05:51,19:53
30/04/2021,11:32:03,11:32:03,05:50,19:54
01/05/2021,11:32:03,11:32:03,05:49,19:55
02/05/2021,11:32:03,11:32:03,05:47,19:56
03/05/2021,11:32:03,11:32:03,05:46,19:57
04/05/2021,11:32:03,11:32:03,05:45,19:58
05/05/2021,11:32:03,11:32:03,05:43,19:59
06/05/2021,11:32:03,11:32:03,05:42,20:00
07/05/2021,11:32:03,11:32:03,05:41,20:02
08/05/2021,11:32:03,11:32:03,05:40,20:03
09/05/2021,11:32:03,11:32:03,05:38,20:04
10/05/2021,11:32:03,11:32:03,05:37,20:05
11/05/2021,11:32:03,11:32:03,05:36,20:06
12/05/2021,11:32:03,11:32:03,05:35,20:07
13/05/2021,11:32:03,11:32:03,05:34,20:08
14/05/2021,11:32:03,11:32:03,05:33,20:09
